observed_at,category,product,sku,seller,country,price,currency,pln_price,vat_status,shipping_to_poland,delivered_pln,stock,warranty,rma_quality,source_url,notes
2026-08-09,SSD,Samsung 9100 PRO 4TB,MZ-VAP4T0BW,Senetic,Poland,3189.67,PLN,3189.67,included,unknown,3189.67,in stock,"5 years or TBW manufacturer limit",good,https://www.senetic.pl/product/MZ-VAP4T0BW,"best verified reputable offer; delivery needs checkout verification"
2026-08-09,Fan 140mm,Noctua NF-A14x25 G2 PWM chromax.black,NF-A14x25 G2 PWM CH.BK,Morele direct,Poland,168.97,PLN,168.97,included,"0-25.99 PLN",168.97,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a14x25-g2-pwm-chromax-black-15645657/,"unit price; quantity 6"
2026-08-09,Fan 120mm,Noctua NF-A12x25 G2 PWM chromax.black,NF-A12x25 G2 PWM chromax.black,Morele direct,Poland,156.97,PLN,156.97,included,"0-25.99 PLN",156.97,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a12x25-g2-pwm-chromax-black-600144884/,"unit price; quantity 6"
2026-08-09,GPU near-match,INNO3D GeForce RTX 5090 X3 32GB,N50903-32D7-17593928,x-kom,Poland,20999.00,PLN,20999.00,included,free,20999.00,unavailable,unknown,good,https://www.x-kom.pl/p/1309623-karta-graficzna-nvidia-inno3d-geforce-rtx-5090-x3-32gb-gddr7-dlss4.html,"compact 2-slot candidate but unavailable; verify warranty and dimensions before approval"
2026-08-09,GPU available fallback,Gainward GeForce RTX 5090 Phantom GS 32GB,NE75090S19R5-GB2020P,x-kom,Poland,21999.00,PLN,21999.00,included,unknown,21999.00,available,unknown,good,https://www.x-kom.pl/p/1309151-karta-graficzna-nvidia-gainward-geforce-rtx-5090-phantom-gs-32gb-gddr7-dlss4.html,"not approved: physical thickness/dual-GPU fit must be verified"
2026-08-09,Optional AMD GPU,Gigabyte Radeon AI PRO R9700 AI TOP 32GB,GV-R9700AI TOP-32GD,x-kom,Poland,6199.00,PLN,6199.00,included,unknown,6199.00,unavailable,unknown,good,https://www.x-kom.pl/p/1370891-karta-graficzna-amd-gigabyte-radeon-ai-pro-r9700-ai-top-32gb-gddr6.html,"2-slot 300W-class AI alternative; CUDA ecosystem disadvantage; unavailable"
2026-08-09,Track A RAM matched 128GB reference,G.Skill G5 Neo 128GB 4x32GB DDR5-6000 ECC RDIMM,F5-6000R3036G32GQ4-G5N,Alternate,Germany,5519.00,EUR,23737.22,"German displayed VAT; Polish VAT reference 24535.11 PLN",Poland delivery on request,unknown,"not stocked; special order 9-15 working days",unknown,good,https://geizhals.eu/g-skill-zeta-r5-neo-rdimm-kit-128gb-f5-6000r3036g32gq4-g5n-a3480111.html,"proper factory quad kit and G.Skill TRX50 AI TOP validated; irrational price reference only; do not buy at this level"
2026-08-09,Track A RAM matched 256GB reference,G.Skill T5 Neo 256GB 4x64GB DDR5-6400 ECC RDIMM,F5-6400R3644E64GQ4-T5N,Alternate,Germany,10424.00,EUR,44833.62,"German displayed VAT; Polish VAT reference 46340.64 PLN",Poland delivery on request,unknown,"not stocked; special order 9-15 working days",unknown,good,https://geizhals.eu/g-skill-t5-neo-rdimm-256gb-kit-f5-6400r3644e64gq4-t5n-a3573626.html,"preferred factory quad kit and G.Skill TRX50 AI TOP validated; extreme price reference only; continue searching other suppliers"
2026-08-09,Track B CPU,AMD Ryzen 9 9950X3D,100-100000719WOF,x-kom,Poland,2699.00,PLN,2699.00,included,free,2699.00,available,"36 months manufacturer",good,https://www.x-kom.pl/p/1321669-procesor-amd-ryzen-9-amd-ryzen-9-9950x3d.html,"Track B primary CPU"
2026-08-09,Track B CPU alternative,AMD Ryzen 9 9950X3D2 Dual Edition,100-100001978WOF,LDLC,France,1079.95,EUR,4644.86,"French displayed VAT; Polish VAT reference 4760.99 PLN",unknown,unknown,in stock,"3 years manufacturer",good,https://www.ldlc.com/en/product/PB00736322.html,"distinct released CPU; EAN 0730143318327; 208MB total cache; do not substitute automatically; confirm Poland shipping and destination VAT"
2026-08-09,Track B Motherboard,ASUS ProArt X870E-CREATOR WIFI,PROART X870E-CREATOR WIFI,Komputronik,Poland,2104.00,PLN,2104.00,included,unknown,2104.00,"main warehouse stock","3 years seller service",good,https://www.komputronik.pl/product/929429/plyta-glowna-asus-proart-x870e-creator-wifi.html,"EAN 4711387730775; dual CPU-fed GPU slots operate PCIe 5.0 x8/x8; M.2_2 must remain empty for dual GPU"
2026-08-09,Track B RAM 128GB,Kingston FURY Beast 128GB 2x64GB DDR5-5600 CL40,KF556C40BBK2-128,Morele direct,Poland,8780.51,PLN,8780.51,included,unknown,8780.51,in stock,"lifetime seller",good,https://www.morele.net/pamiec-kingston-fury-beast-ddr5-128gb-5600mt-s-cl40-czarny-kf556c40bbk2-128-15245805/,"exact ASUS QVL; factory 2x64GB UDIMM; Samsung dual-rank ICs; 40-40-40-80 1.25V; Track B primary stability choice despite price anomaly"
2026-08-09,Track B RAM 256GB experiment,Crucial Pro 128GB 2x64GB DDR5-5600 CL46,CP2K64G56C46U5,Proline,Poland,7999.00,PLN,7999.00,included,unknown,15998.00,"small quantity; quantity two unverified",unknown,good,https://proline.pl/pamiec-crucial-pro-128gb-2x64gb-ddr5-5600-cl46-cp2k64g56c46u5-p8396369,"two kits required for 256GB; constituent module CP64G56C46U5 is ASUS-QVL at DDR5-3600 with four DIMMs; capacity experiment only, not default"
2026-08-09,Track B CPU cooler,Corsair NAUTILUS 360 RS non-RGB,CW-9060089-WW,Morele direct,Poland,489.00,PLN,489.00,included,unknown,489.00,in stock,"60 months manufacturer",good,https://www.morele.net/chlodzenie-wodne-corsair-nautilus-360-rs-cw-9060089-ww-14386403/,"top exhaust; 396x120x27mm radiator plus 25mm fans gives nominal 52mm stack; verify motherboard shroud clearance"
2026-08-09,Track B Case near-match reference,Phanteks Enthoo Pro 2 Server Edition,PH-ES620PC_BK02,Alternate,Germany,159.90,EUR,687.73,"German displayed VAT; Polish VAT reference 710.85 PLN",unknown,unknown,immediately available,"5 years family warranty",good,https://www.alternate.de/Phanteks/Enthoo-Pro-2-Server-Edition-Big-Tower-Geh%C3%A4use/html/product/100042221,"REFERENCE ONLY: Track B requires PH-ES620PC_BK03 and no exact offer was verified; never silently substitute BK02"
2026-08-09,Track B PSU B2 one-GPU value,Seasonic VERTEX GX-1200,VERTEX-GX-1200,Morele direct,Poland,1001.99,PLN,1001.99,included,free,1001.99,"last unit",unknown,good,https://www.morele.net/zasilacz-seasonic-vertex-gx-1200w-vertex-gx-1200-13040437/,"premium 1200W one-GPU lead; retailer labels exact offer ATX 3.0; verify revision and GPU-side cable before purchase while continuing ATX 3.1 search"
2026-08-09,Track B SSD 4TB Gen4,Samsung 990 PRO 4TB,MZ-V9P4T0BW,KR System,Poland,2865.01,PLN,2865.01,included,"from 10.99 PLN",2876.00,"dispatch within 48 hours","60 months or 2400 TBW",good,https://www.krsystem.pl/samsung_dysk_ssd_990pro_gen4.0x4_nvme_4tb_mzv9p4t0bw-item-73006.html,"install in chipset-connected M.2_4; never M.2_2 in the Track B dual-GPU layout"
2026-08-09,Track B Motherboard selected,GIGABYTE X870E AORUS MASTER X3D ICE,X870E AORUS MASTER X3D ICE,Alternate,Germany,495.00,EUR,2129.00,"German displayed VAT; Polish VAT reference 2200.56 PLN","from 7.99 EUR; Poland checkout unverified",unknown,"immediately available",unknown,good,https://www.alternate.de/GIGABYTE/X870E-AORUS-MASTER-X3D-ICE-Mainboard/html/product/100162099,"EAN 4719331876517; exact selected board; CPU PEG x16 or x8/x8; 9950X3D2 requires BIOS F8 or newer; no documented M.2 reduction of CPU GPU pair"
2026-08-09,Track B CPU cooler selected,TRYX PANORAMA 360 White non-ARGB,L-P360N-DS3M-G1W,Morele direct,Poland,1648.99,PLN,1648.99,included,unknown,1648.99,in stock,"retailer term requires confirmation; TRYX advertises 6 years cooler and 2 years display",good,https://www.morele.net/chlodzenie-wodne-jetworld-tryx-panorama-360-aio-l-p360n-ds3m-g1w-14962229/,"EAN 6977029650353; exact full PANORAMA rather than SE; 55mm radiator/fan stack; top exhaust; large pump/display and KANALI software add complexity"
2026-08-09,Track B Case selected,HAVN HS 420 VGPU White,HVN-CA-HS420-07,Caseking,Germany,289.90,EUR,1246.86,"German displayed VAT; Polish VAT reference 1288.77 PLN",unknown,unknown,in stock,"1 year manufacturer plus EU seller conformity rights",good,https://www.caseking.de/en/havn-hs-420-vgpu-pc-case-mid-tower-e-atx-tempered-glass-pcie-5.0-riser-cable-white/GEHV-003.html,"EAN 4251442512156; exact VGPU edition; stock layout supports one vertical GPU only; a second GPU requires removal of VGPU assembly and two horizontal cards; no fans included"
2026-08-09,Track B RAM revalidation,Kingston FURY Beast 128GB 2x64GB DDR5-5600 CL40,KF556C40BBK2-128,Morele direct,Poland,8780.51,PLN,8780.51,included,unknown,8780.51,in stock,"lifetime seller",good,https://www.morele.net/pamiec-kingston-fury-beast-ddr5-128gb-5600mt-s-cl40-czarny-kf556c40bbk2-128-15245805/,"factory 2x64GB UDIMM and structurally supported; previous ASUS QVL evidence does not prove GIGABYTE X870E AORUS MASTER X3D ICE validation; exact GIGABYTE QVL or memory-vendor confirmation pending"
2026-08-09,Track B Fan 140mm,Noctua NF-A14x25 G2 PWM chromax.black,NF-A14x25 G2 PWM CH.BK,Morele direct,Poland,168.97,PLN,168.97,included,"0-25.99 PLN",168.97,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a14x25-g2-pwm-chromax-black-15645657/,"unit price; selected HAVN layout quantity 8: 3 bottom intake 3 right intake 2 rear exhaust"
2026-08-16,Track A CPU,AMD Ryzen Threadripper 9960X,100-100001595WOF,Amazon.pl direct,Poland,6573.07,PLN,6573.07,included,free,6573.07,"offer exposed by Ceneo; checkout stock not independently extracted","3 years manufacturer",good,https://www.amazon.pl/gp/product/B0FJ6KKCD5/?smid=A2R2221NX79QZP&psc=1,"Ceneo current offer lists Amazon at 6573.07 PLN with free shipping; retained over conflicting Senetic structured amount whose gross VAT presentation was ambiguous"
2026-08-16,Track A Motherboard,Gigabyte TRX50 AI TOP,unknown,x-kom,Poland,4579.00,PLN,4579.00,included,"store pickup free; other methods unknown",4579.00,in stock,"36 months manufacturer",good,https://www.x-kom.pl/p/1316393-plyta-glowna-socket-str5-gigabyte-trx50-ai-top.html,"direct JSON-LD confirms current price and InStock"
2026-08-16,Track A RAM matched 128GB reference,G.Skill G5 Neo 128GB 4x32GB DDR5-6000 ECC RDIMM,F5-6000R3036G32GQ4-G5N,Alternate GmbH,Germany,5519.00,EUR,23786.89,"German displayed VAT; Polish VAT reference 24586.45 PLN","Poland delivery on request",unknown,"not stocked; available 9-15 working days after order",unknown,good,https://geizhals.eu/g-skill-zeta-r5-neo-rdimm-kit-128gb-f5-6000r3036g32gq4-g5n-a3480111.html,"factory-matched quad kit; current Geizhals structured offer names Alternate; extreme price; PLN uses NBP 4.3100 effective 2026-08-14; exact SKU searches comparison data specialist paths and validation paths produced no rational qualifying alternative"
2026-08-16,Track A GPU,ASUS ProArt GeForce RTX 5090 OC 32GB,PROART-RTX5090-O32G,Morele.net Sp. z o.o.,Poland,25140.41,PLN,25140.41,included,"0-25.99 PLN",25140.41,out of stock,"36 months manufacturer previously stated",good,https://www.morele.net/karta-graficzna-asus-proart-geforce-rtx-5090-oc-32gb-gddr7-dlss4-proart-rtx5090-o32g-600147680/,"exact structured listing now OutOfStock; total therefore retains 20999 PLN 2026-08-09 Euro reference and is provisional"
2026-08-16,Track A CPU cooler,Thermaltake AW420 TR5/SP6,CL-W445-PL14BL-A,Morele.net Sp. z o.o.,Poland,1434.40,PLN,1434.40,included,"0-25.99 PLN",1434.40,in stock,unknown,good,https://www.morele.net/chlodzenie-wodne-thermaltake-aio-aw420-cl-w445-pl14bl-a-15342140/,"exact SKU; structured seller price stock shipping and 14-day return evidence"
2026-08-16,Track A Case,Phanteks Enthoo Elite Server,PH-ES916E_BK02,Caseking GmbH,Germany,unknown,EUR,unknown,unknown,unknown,unknown,"no current exact stock independently verified",unknown,good,https://www.caseking.de/en/phanteks-enthoo-elite-server-pc-case-big-tower-ssi-eeb-and-multi-gpu-black/GEPH-222.html,"direct page blocked extraction; do not confuse Enthoo Elite or BK03; total retains 1719.97 PLN 2026-08-09 exact-reference price and is provisional"
2026-08-16,Track A PSU,Seasonic PRIME PX-2200 ATX 3.1,PRIME-PX-2200-ATX30,Morele.net Sp. z o.o.,Poland,2158.57,PLN,2158.57,included,"0-25.99 PLN",2158.57,in stock,"12 years manufacturer",good,https://www.morele.net/zasilacz-seasonic-prime-px-atx-3-2200w-prime-px-2200-atx30-14499536/,"exact EAN 4711173878414; structured offer confirms seller price and stock; official Seasonic model is ATX 3.1 with native 12V-2x6"
2026-08-16,Track A SSD,Samsung 9100 PRO 4TB,MZ-VAP4T0BW,Senetic S.A.,Poland,3269.69,PLN,3269.69,included,unknown,3269.69,in stock,"5 years or TBW manufacturer limit",good,https://www.senetic.pl/product/MZ-VAP4T0BW,"unit price; quantity two; direct structured product offer; shipping needs checkout confirmation"
2026-08-16,Track A Fan 140mm,Noctua NF-A14x25 G2 PWM chromax.black,NF-A14x25 G2 PWM CH.BK,Morele.net Sp. z o.o.,Poland,168.97,PLN,168.97,included,"0-25.99 PLN",168.97,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a14x25-g2-pwm-chromax-black-15645657/,"unit price; quantity six; structured direct offer"
2026-08-16,Track A Fan 120mm,Noctua NF-A12x25 G2 PWM chromax.black,NF-A12x25 G2 PWM chromax.black,Morele.net Sp. z o.o.,Poland,156.97,PLN,156.97,included,"0-25.99 PLN",156.97,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a12x25-g2-pwm-chromax-black-600144884/,"unit price; quantity six; structured direct offer"
2026-08-16,Track B CPU,AMD Ryzen 9 9950X3D,100-100000719WOF,x-kom,Poland,2699.00,PLN,2699.00,included,free,2699.00,in stock,"36 months manufacturer",good,https://www.x-kom.pl/p/1321669-procesor-amd-ryzen-9-amd-ryzen-9-9950x3d.html,"primary CPU; direct JSON-LD confirms price and InStock"
2026-08-16,Track B CPU alternative,AMD Ryzen 9 9950X3D2 Dual Edition,100-100001978WOF,LDLC,France,1079.95,EUR,4654.58,"French displayed VAT; Polish VAT reference 4770.95 PLN",unknown,unknown,in stock,"3 years manufacturer",good,https://www.ldlc.com/en/product/PB00736322.html,"distinct released CPU; exact MPN and EAN 0730143318327; 2071.95 PLN or 76.77% premium over primary after PL-VAT adjustment; never substitute automatically"
2026-08-16,Track B Motherboard,GIGABYTE X870E AORUS MASTER X3D ICE,X870E A MASTER X ICE,Morele.net Sp. z o.o.,Poland,2248.67,PLN,2248.67,included,"free with Morele MAX shown by Ceneo; ordinary shipping 0-25.99 PLN",2248.67,in stock,unknown,good,https://www.morele.net/plyta-glowna-gigabyte-x870e-aorus-master-x3d-ice-15566741/,"exact EAN 4719331876517; direct Morele structured/search data plus Ceneo seller offer; CPU PEG is x16 or x8/x8 and M.2 does not reduce GPU pair"
2026-08-16,Track B RAM 128GB,Kingston FURY Beast 128GB 2x64GB DDR5-5600 CL40,KF556C40BBK2-128,Morele.net Sp. z o.o.,Poland,9892.28,PLN,9892.28,included,"0-25.99 PLN",9892.28,in stock,"lifetime seller previously stated",good,https://www.morele.net/pamiec-kingston-fury-beast-ddr5-128gb-5600mt-s-cl40-czarny-kf556c40bbk2-128-15245805/,"factory 2x64GB UDIMM; exact board-specific GIGABYTE QVL or memory-vendor validation remains unextracted; stability testing required"
2026-08-16,Track B GPU,ASUS ProArt GeForce RTX 5090 OC 32GB,PROART-RTX5090-O32G,Morele.net Sp. z o.o.,Poland,25140.41,PLN,25140.41,included,"0-25.99 PLN",25140.41,out of stock,"36 months manufacturer previously stated",good,https://www.morele.net/karta-graficzna-asus-proart-geforce-rtx-5090-oc-32gb-gddr7-dlss4-proart-rtx5090-o32g-600147680/,"exact structured listing OutOfStock; total retains 20999 PLN 2026-08-09 Euro reference; stock HAVN VGPU layout supports only one vertical GPU"
2026-08-16,Track B CPU cooler,TRYX PANORAMA 360 White non-ARGB,L-P360N-DS3M-G1W,Morele.net Sp. z o.o.,Poland,1651.99,PLN,1651.99,included,"0-25.99 PLN",1651.99,in stock,"seller term unknown; TRYX advertises 6 years cooler and 2 years display",good,https://www.morele.net/chlodzenie-wodne-jetworld-tryx-panorama-360-aio-l-p360n-ds3m-g1w-14962229/,"exact EAN 6977029650353; full white non-ARGB PANORAMA; 55mm stack; top exhaust"
2026-08-16,Track B Case,HAVN HS 420 VGPU White,HVN-CA-HS420-07,Morele.net Sp. z o.o.,Poland,1127.79,PLN,1127.79,included,"0-25.99 PLN",1127.79,in stock,unknown,good,https://www.morele.net/obudowa-havn-hs-420-vgpu-biala-hvn-ca-hs420-07-14454524/,"exact EAN 4251442512156; new Polish qualifying seller and repository historical low; no fans; stock VGPU layout one-GPU-only"
2026-08-16,Track B PSU B1 dual-GPU-power-ready,Seasonic PRIME PX-2200 ATX 3.1,PRIME-PX-2200-ATX30,Morele.net Sp. z o.o.,Poland,2158.57,PLN,2158.57,included,"0-25.99 PLN",2158.57,in stock,"12 years manufacturer",good,https://www.morele.net/zasilacz-seasonic-prime-px-atx-3-2200w-prime-px-2200-atx30-14499536/,"exact EAN 4711173878414; electrically dual-GPU-power-ready but stock HAVN chassis is not two-GPU-ready; 210mm PSU leaves 10mm nominal body allowance"
2026-08-16,Track B PSU B2 one-GPU-only,Seasonic VERTEX GX-1200,VERTEX-GX-1200,Morele.net Sp. z o.o.,Poland,1001.99,PLN,1001.99,included,"0-25.99 PLN",1001.99,in stock,unknown,good,https://www.morele.net/zasilacz-seasonic-vertex-gx-1200w-vertex-gx-1200-13040437/,"listing MPN explicitly says ATX 3.0 PCIe 5.0; one-GPU-only lead; verify native GPU-side cable implementation before purchase"
2026-08-16,Track B SSD primary,Samsung 9100 PRO 4TB,MZ-VAP4T0BW,Senetic S.A.,Poland,3269.69,PLN,3269.69,included,unknown,3269.69,in stock,"5 years or TBW manufacturer limit",good,https://www.senetic.pl/product/MZ-VAP4T0BW,"install in M2A_CPU; direct structured offer; shipping checkout unknown"
2026-08-16,Track B SSD secondary,Samsung 990 PRO 4TB,MZ-V9P4T0BW,KR System,Poland,2941.89,PLN,2941.89,included,"from 10.99 PLN",2941.89,in stock,"60 months or 2400 TBW",good,https://www.krsystem.pl/samsung_dysk_ssd_990pro_gen4.0x4_nvme_4tb_mzv9p4t0bw-item-73006.html,"install in M2C_SB; direct JSON-LD confirms price and stock; shipping excluded because method not selected"
2026-08-16,Track B Fan 140mm,Noctua NF-A14x25 G2 PWM chromax.black,NF-A14x25 G2 PWM CH.BK,Morele.net Sp. z o.o.,Poland,168.97,PLN,168.97,included,"0-25.99 PLN",168.97,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a14x25-g2-pwm-chromax-black-15645657/,"unit price; quantity eight; 3 bottom intake 3 side intake 2 rear exhaust"
2026-08-23,Track A CPU,AMD Ryzen Threadripper 9960X,100-100001595WOF,Morele.net Sp. z o.o.,Poland,6542.64,PLN,6542.64,included,"0-25.99 PLN",6542.64,in stock,unknown,good,https://www.morele.net/procesor-amd-ryzen-threadripper-9960x-4-2-ghz-128-mb-box-100-100001595wof-15415332/,"new Polish qualifying seller and repository historical low; direct JSON-LD price valid through 2026-08-24; seller mail return within 14 days at customer cost; selected delivery method unknown so shipping excluded"
2026-08-23,Track A Motherboard,Gigabyte TRX50 AI TOP,TRX50 AI TOP,Morele.net Sp. z o.o.,Poland,3917.11,PLN,3917.11,included,"0-25.99 PLN",3917.11,in stock,unknown,good,https://www.morele.net/plyta-glowna-gigabyte-trx50-ai-top-13812451/,"new Polish qualifying seller and repository historical low; direct JSON-LD price valid through 2026-08-24; return within 14 days by mail at customer cost"
2026-08-23,Track A RAM matched 128GB reference,G.Skill G5 Neo 128GB 4x32GB DDR5-6000 ECC RDIMM,F5-6000R3036G32GQ4-G5N,Geizhals offer index / contracting seller not extracted,Germany,5483.00,EUR,23643.79,"German displayed VAT; Polish VAT reference 24438.54 PLN",unknown,unknown,"special-order offer index; immediate stock not verified",unknown,unknown,https://geizhals.eu/g-skill-zeta-r5-neo-rdimm-kit-128gb-f5-6000r3036g32gq4-g5n-a3480111.html,"factory-matched quad kit; exact G.Skill product/QVL validation retained; PL-VAT reference uses NBP EUR/PLN 4.3122 effective 2026-08-21; contracting seller and Poland delivery not extracted so reference only; G5 6400 sibling also indexed at EUR 5483; Kingston configurator Compuram Memory.NET and exact-SKU paths found no rational qualifying 4x32 kit"
2026-08-23,Track A GPU,ASUS ProArt GeForce RTX 5090 OC 32GB,PROART-RTX5090-O32G,Morele.net Sp. z o.o.,Poland,25140.41,PLN,25140.41,included,"0-25.99 PLN",25140.41,out of stock,"36 months manufacturer previously stated",good,https://www.morele.net/karta-graficzna-asus-proart-geforce-rtx-5090-oc-32gb-gddr7-dlss4-proart-rtx5090-o32g-600147680/,"direct JSON-LD remains OutOfStock; Komputronik exact 27290 PLN listing also SoldOut; total retains 20999 PLN 2026-08-09 Euro reference and is provisional"
2026-08-23,Track A CPU cooler,Thermaltake AW420 TR5/SP6,CL-W445-PL14BL-A,Morele.net Sp. z o.o.,Poland,1434.40,PLN,1434.40,included,"0-25.99 PLN",1434.40,in stock,unknown,good,https://www.morele.net/chlodzenie-wodne-thermaltake-aio-aw420-cl-w445-pl14bl-a-15342140/,"exact SKU; direct JSON-LD seller price stock delivery range and 14-day mail return evidence"
2026-08-23,Track A Case,Phanteks Enthoo Elite Server,PH-ES916E_BK02,Caseking GmbH,Germany,unknown,EUR,unknown,unknown,unknown,unknown,"no current qualifying EU stock verified",unknown,good,https://www.caseking.de/en/phanteks-enthoo-elite-server-pc-case-big-tower-ssi-eeb-and-multi-gpu-black/GEPH-222.html,"exact page returned HTTP 403; exact-SKU web retail comparison and manufacturer paths found no qualifying Poland/EU offer; rejected ordinary Enthoo Elite and all non-BK02 near matches; total retains 1719.97 PLN 2026-08-09 reference"
2026-08-23,Track A PSU,Seasonic PRIME PX-2200 ATX 3.1,PRIME-PX-2200-ATX30,Morele.net Sp. z o.o.,Poland,2158.57,PLN,2158.57,included,"0-25.99 PLN",2158.57,in stock,"12 years manufacturer",good,https://www.morele.net/zasilacz-seasonic-prime-px-atx-3-2200w-prime-px-2200-atx30-14499536/,"exact EAN 4711173878414; direct JSON-LD current offer; Seasonic official family verifies ATX 3.1 and native 12V-2x6"
